"","id1","id2","thetar","thetas","alpha","n","ksat","l","thrim","thsim","omega","pulse","array(serr)"
"120",120,6,0.01,0.44,0.0275,1.8,0.2,0.5,0.15,0.25,0.5,12,383563.806366709
"121",121,6,0.01,0.44,0.03,1.8,0.2,0.5,0.15,0.25,0.5,12,435067.33122982
"122",1,6,0.01,0.44,0.005,1.45,0.1,0.5,0.15,0.25,0.5,12,191549.050245703
"123",2,6,0.01,0.44,0.0075,1.45,0.1,0.5,0.15,0.25,0.5,12,54891.0242127132
"124",3,6,0.01,0.44,0.01,1.45,0.1,0.5,0.15,0.25,0.5,12,73065.8286214277
"125",4,6,0.01,0.44,0.0125,1.45,0.1,0.5,0.15,0.25,0.5,12,114711.14067038
"126",5,6,0.01,0.44,0.015,1.45,0.1,0.5,0.15,0.25,0.5,12,155033.279093548
"127",6,6,0.01,0.44,0.0175,1.45,0.1,0.5,0.15,0.25,0.5,12,197986.891083881
"128",7,6,0.01,0.44,0.02,1.45,0.1,0.5,0.15,0.25,0.5,12,245658.967347235
"129",8,6,0.01,0.44,0.0225,1.45,0.1,0.5,0.15,0.25,0.5,12,296875.891121681
"130",9,6,0.01,0.44,0.025,1.45,0.1,0.5,0.15,0.25,0.5,12,348947.307754014
"131",10,6,0.01,0.44,0.0275,1.45,0.1,0.5,0.15,0.25,0.5,12,403449.683073598
"132",11,6,0.01,0.44,0.03,1.45,0.1,0.5,0.15,0.25,0.5,12,457320.797530709
"133",12,6,0.01,0.44,0.005,1.45,0.12,0.5,0.15,0.25,0.5,12,281160.467368534
"134",13,6,0.01,0.44,0.0075,1.45,0.12,0.5,0.15,0.25,0.5,12,59899.897700747
"135",14,6,0.01,0.44,0.01,1.45,0.12,0.5,0.15,0.25,0.5,12,54956.0965172918
"136",15,6,0.01,0.44,0.0125,1.45,0.12,0.5,0.15,0.25,0.5,12,92004.2482882372
"137",16,6,0.01,0.44,0.015,1.45,0.12,0.5,0.15,0.25,0.5,12,123918.258970364
"138",17,6,0.01,0.44,0.0175,1.45,0.12,0.5,0.15,0.25,0.5,12,160005.326745309
"139",18,6,0.01,0.44,0.02,1.45,0.12,0.5,0.15,0.25,0.5,12,204414.882651625
"140",19,6,0.01,0.44,0.0225,1.45,0.12,0.5,0.15,0.25,0.5,12,250342.406575848
"141",20,6,0.01,0.44,0.025,1.45,0.12,0.5,0.15,0.25,0.5,12,299594.412509376
"142",21,6,0.01,0.44,0.0275,1.45,0.12,0.5,0.15,0.25,0.5,12,346662.384479153
"143",22,6,0.01,0.44,0.03,1.45,0.12,0.5,0.15,0.25,0.5,12,396799.821457459
"144",23,6,0.01,0.44,0.005,1.45,0.14,0.5,0.15,0.25,0.5,12,379721.019572553
"145",24,6,0.01,0.44,0.0075,1.45,0.14,0.5,0.15,0.25,0.5,12,76529.9934806752
"146",25,6,0.01,0.44,0.01,1.45,0.14,0.5,0.15,0.25,0.5,12,47212.0403250494
"147",26,6,0.01,0.44,0.0125,1.45,0.14,0.5,0.15,0.25,0.5,12,67860.8146296988
"148",27,6,0.01,0.44,0.015,1.45,0.14,0.5,0.15,0.25,0.5,12,98186.4792040526
"149",28,6,0.01,0.44,0.0175,1.45,0.14,0.5,0.15,0.25,0.5,12,133129.251484121
"150",29,6,0.01,0.44,0.02,1.45,0.14,0.5,0.15,0.25,0.5,12,171260.716481221
