"","id1","id2","THETAR","THETAS","ALPHA1","ALPHA2","N1","N2","KSAT","L","W2","PULSE","array(serr)"
"13",13,5,0,0.44,0.00503777168582489,0.0281745023900076,1.65096921570761,3.23263352550854,0.370856303709344,0.5,0.413215336743314,16,NA
"14",14,5,0,0.44,0.00505541132315003,0.0281745023900076,1.65096921570761,3.23263352550854,0.370856303709344,0.5,0.413215336743314,16,1281.44171834024
"15",15,5,0,0.44,0.00507305096047517,0.0281745023900076,1.65096921570761,3.23263352550854,0.370856303709344,0.5,0.413215336743314,16,1350.9631395815
"16",16,5,0,0.44,0.00509069059780031,0.0281745023900076,1.65096921570761,3.23263352550854,0.370856303709344,0.5,0.413215336743314,16,NA
"17",17,5,0,0.44,0.00510833023512545,0.0281745023900076,1.65096921570761,3.23263352550854,0.370856303709344,0.5,0.413215336743314,16,NA
"18",18,5,0,0.44,0.00512596987245059,0.0281745023900076,1.65096921570761,3.23263352550854,0.370856303709344,0.5,0.413215336743314,16,NA
"19",19,5,0,0.44,0.00514360950977573,0.0281745023900076,1.65096921570761,3.23263352550854,0.370856303709344,0.5,0.413215336743314,16,NA
"20",20,5,0,0.44,0.00516124914710087,0.0281745023900076,1.65096921570761,3.23263352550854,0.370856303709344,0.5,0.413215336743314,16,NA
"21",21,5,0,0.44,0.00517888878442601,0.0281745023900076,1.65096921570761,3.23263352550854,0.370856303709344,0.5,0.413215336743314,16,NA
"22",22,5,0,0.44,0.00519652842175115,0.0281745023900076,1.65096921570761,3.23263352550854,0.370856303709344,0.5,0.413215336743314,16,NA
"23",23,5,0,0.44,0.00502013204849975,0.0285370010174595,1.65096921570761,3.23263352550854,0.370856303709344,0.5,0.413215336743314,16,NA
"24",24,5,0,0.44,0.00503777168582489,0.0285370010174595,1.65096921570761,3.23263352550854,0.370856303709344,0.5,0.413215336743314,16,NA
"25",25,5,0,0.44,0.00505541132315003,0.0285370010174595,1.65096921570761,3.23263352550854,0.370856303709344,0.5,0.413215336743314,16,NA
"26",26,5,0,0.44,0.00507305096047517,0.0285370010174595,1.65096921570761,3.23263352550854,0.370856303709344,0.5,0.413215336743314,16,1227.39259011587
"27",27,5,0,0.44,0.00509069059780031,0.0285370010174595,1.65096921570761,3.23263352550854,0.370856303709344,0.5,0.413215336743314,16,1110.82590217416
"28",28,5,0,0.44,0.00510833023512545,0.0285370010174595,1.65096921570761,3.23263352550854,0.370856303709344,0.5,0.413215336743314,16,1100.76895400721
"29",29,5,0,0.44,0.00512596987245059,0.0285370010174595,1.65096921570761,3.23263352550854,0.370856303709344,0.5,0.413215336743314,16,1051.98405131011
"30",30,5,0,0.44,0.00514360950977573,0.0285370010174595,1.65096921570761,3.23263352550854,0.370856303709344,0.5,0.413215336743314,16,NA
"31",31,5,0,0.44,0.00516124914710087,0.0285370010174595,1.65096921570761,3.23263352550854,0.370856303709344,0.5,0.413215336743314,16,1052.16449728694
"32",32,5,0,0.44,0.00517888878442601,0.0285370010174595,1.65096921570761,3.23263352550854,0.370856303709344,0.5,0.413215336743314,16,1103.69915783828
"33",33,5,0,0.44,0.00519652842175115,0.0285370010174595,1.65096921570761,3.23263352550854,0.370856303709344,0.5,0.413215336743314,16,1104.47122704938
"34",34,5,0,0.44,0.00502013204849975,0.0288994996449113,1.65096921570761,3.23263352550854,0.370856303709344,0.5,0.413215336743314,16,916.471963554966
