oid,qid,cid,dist
93,9,5,159.513155
94,9,6,183.234774
95,9,7,213.2384278
96,9,8,242.8938935
97,9,9,274.4955476
98,9,10,308.3465036
99,9,11,338.4025682
100,10,1,64.35126644
101,10,2,70.1401916
102,10,3,90.80556662
103,10,4,116.6711977
104,10,5,147.6995306
105,10,6,173.3899724
106,10,7,205.004847
107,10,8,235.7367613
108,10,9,268.412503
109,10,10,303.2082678
110,10,11,333.9022858
111,11,1,42.89876097
112,11,2,15.45673413
113,11,3,37.91812857
114,11,4,69.65753634
115,11,5,104.6920009
116,11,6,134.4555446
117,11,7,169.0862672
118,11,8,201.6698473
119,11,9,236.3264034
120,11,10,272.8745981
121,11,11,304.7113947
122,12,1,60.82062252
123,12,2,41.98101027
124,12,3,52.08568443
125,12,4,76.26239917
126,12,5,107.7257825
127,12,6,134.4747489
128,12,7,167.2063881
129,12,8,198.7537068
130,12,9,232.3312545
131,12,10,267.9705585
132,12,11,299.247064
133,13,1,72.4323562
134,13,2,62.71277505
135,13,3,73.84601358
136,13,4,95.17542077
137,13,5,124.0552689
138,13,6,148.4739627
139,13,7,179.4178512
140,13,8,209.8498282
141,13,9,242.3220595
142,13,10,277.011802
143,13,11,307.6700108
144,14,1,94.64508139
145,14,2,81.08401958
146,14,3,84.85484325
147,14,4,99.42290729
148,14,5,123.4749029
149,14,6,144.2912861
150,14,7,172.6198748
151,14,8,201.4770716
152,14,9,232.5323352
153,14,10,266.0757253
154,14,11,296.0072438
155,15,1,117.4552828
156,15,2,111.5957518
157,15,3,118.4284721
158,15,4,132.4864925
159,15,5,154.3458929
160,15,6,172.46884
161,15,7,198.0563
162,15,8,224.8602569
163,15,9,253.8655476
164,15,10,285.5700157
165,15,11,314.2256958
166,16,1,154.6024101
167,16,2,140.1539917
168,16,3,136.8856324
169,16,4,140.6453955
170,16,5,153.0455927
171,16,6,163.5496407
172,16,7,182.642959
173,16,8,205.1073055
174,16,9,230.326845
175,16,10,258.9812968
176,16,11,285.6719879
177,17,1,107.9761432
178,17,2,85.73554937
179,17,3,79.45596573
180,17,4,85.89530773
181,17,5,104.9644296
182,17,6,123.0375128
183,17,7,149.855028
184,17,8,178.0398926
185,17,9,208.6715865
186,17,10,241.9939977
