Date,TemperatureHighF,TemperatureAvgF,TemperatureLowF,DewpointHighF,DewpointAvgF,DewpointLowF,HumidityHigh,HumidityAvg,HumidityLow,PressureMaxIn,PressureMinIn,WindSpeedMaxMPH,WindSpeedAvgMPH,GustSpeedMaxMPH,PrecipitationSumIn
2014-4-6,68.2,53.2,39.0,46.4,42.0,36.7,93,69,37,30.33,30.21,11,2,12,0.00 
2014-4-7,74.8,54.2,36.1,48.0,40.7,34.0,94,65,25,30.29,30.10,7,1,7,0.00 
2014-4-8,77.7,57.8,40.6,50.0,43.4,37.9,92,63,26,30.19,29.98,7,1,9,0.00 
2014-4-9,74.1,57.6,40.6,46.0,39.0,23.4,90,56,16,30.08,29.94,9,2,9,0.00 
2014-4-10,76.1,55.5,37.6,46.9,38.7,32.5,85,57,22,30.09,29.89,7,1,9,0.00 
2014-4-11,78.4,58.1,39.7,47.5,41.1,27.9,89,58,18,30.00,29.77,8,1,10,0.00 
2014-4-12,75.6,57.6,40.5,48.6,36.9,17.8,90,53,19,29.97,29.78,11,2,15,0.00 
2014-4-13,70.7,50.5,32.4,35.4,29.5,24.6,78,48,19,30.17,29.97,8,1,8,0.00 
2014-4-14,75.6,54.9,35.4,44.2,34.4,25.9,83,51,22,30.19,30.01,10,1,10,0.00 
2014-4-15,68.2,53.2,35.4,39.4,33.1,22.8,83,50,22,30.10,29.96,9,2,9,0.00 
2014-4-16,68.4,50.0,35.2,43.3,35.8,30.9,86,61,35,30.09,29.91,8,1,9,0.00 
2014-4-17,65.3,52.7,38.8,47.5,42.2,35.2,91,70,37,30.01,29.82,15,2,15,0.01 
2014-4-18,68.4,50.8,39.6,42.3,36.7,17.1,97,64,16,30.06,29.89,7,1,8,0.01 
2014-4-19,67.5,50.9,35.1,42.1,33.8,20.5,82,55,22,30.20,29.90,20,2,22,0.00 
2014-4-20,72.3,51.6,33.3,46.6,34.9,26.8,88,58,21,30.30,30.09,7,1,9,0.00 
2014-4-21,67.3,54.1,44.1,45.9,36.8,24.8,78,55,23,30.09,29.75,25,4,25,0.03 
2014-4-22,54.7,44.3,34.5,39.4,32.2,21.9,94,65,33,30.09,29.84,14,3,15,0.05 
2014-4-23,60.4,48.8,38.7,44.2,37.1,29.3,88,65,50,30.12,29.98,14,3,15,0.01 
2014-4-24,60.1,51.4,43.5,45.9,38.5,31.1,83,62,44,29.99,29.85,23,6,26,0.02 
2014-4-25,51.1,42.2,34.0,39.7,35.8,30.7,94,79,52,29.89,29.75,17,1,17,0.02 
2014-4-26,52.2,41.5,28.0,37.4,30.5,24.6,93,68,37,29.96,29.89,16,2,17,0.03 
2014-4-27,56.1,47.5,37.0,37.9,34.4,29.5,85,61,38,30.17,29.88,20,4,20,0.03 
2014-4-28,65.7,47.0,29.5,39.7,32.7,25.0,91,62,28,30.34,30.16,7,1,9,0.00 
2014-4-29,78.3,56.2,36.3,46.4,38.8,33.4,90,58,23,30.45,30.23,7,1,8,0.00 
2014-4-30,82.6,61.5,40.8,42.6,34.5,17.4,83,44,11,30.29,30.05,11,1,11,0.00 
2014-5-1,86.5,63.6,42.4,43.7,37.7,27.1,75,43,13,30.12,29.98,13,1,14,0.00 
2014-5-2,81.9,62.0,43.3,45.7,40.8,32.5,82,50,18,30.09,29.83,11,2,14,0.00 
2014-5-3,71.4,58.4,45.3,43.3,39.3,31.8,80,51,26,29.90,29.77,20,3,21,0.00 
2014-5-4,62.4,52.9,43.3,43.7,39.7,35.8,80,62,44,29.96,29.86,18,3,18,0.00 
2014-5-5,55.2,46.1,36.3,44.4,37.3,31.5,89,72,43,30.03,29.93,18,1,21,0.11 
2014-5-6,63.0,48.7,35.1,38.3,35.2,30.9,91,63,31,30.07,29.93,14,2,14,0.00 
2014-5-7,67.3,51.3,33.1,41.7,35.2,28.8,91,59,28,30.01,29.88,9,1,9,0.00 
2014-5-8,62.8,53.1,46.2,50.9,44.1,34.7,92,72,56,29.93,29.81,14,2,16,0.08 
2014-5-9,59.7,50.1,43.3,43.9,38.6,33.1,91,66,40,30.14,29.93,14,3,17,0.09 
2014-5-10,58.3,47.1,37.6,38.3,33.4,26.6,87,62,32,30.26,30.11,14,2,14,0.00 
2014-5-11,68.4,50.2,31.6,38.1,33.3,24.6,91,58,22,30.32,30.13,9,1,10,0.00 
2014-5-12,76.8,56.6,36.9,41.4,35.9,21.4,87,52,13,30.28,30.12,8,1,9,0.00 
2014-5-13,83.7,62.2,42.1,47.7,39.4,31.8,81,48,17,30.30,30.11,7,1,8,0.00 
2014-5-14,88.5,66.4,45.7,55.4,42.4,34.2,78,46,16,30.24,30.00,7,1,10,0.00 
2014-5-15,85.8,67.6,50.2,54.7,43.0,33.6,80,46,18,30.09,29.95,11,1,13,0.00 
2014-5-16,80.6,62.2,46.6,45.5,35.4,14.9,74,42,11,30.04,29.91,11,1,11,0.00 
2014-5-17,77.4,59.7,42.6,45.3,39.3,30.4,82,51,23,29.98,29.83,13,2,15,0.00 
2014-5-18,66.0,55.6,44.8,44.8,40.1,37.0,84,57,38,29.93,29.84,19,3,19,0.00 
2014-5-19,61.3,47.8,37.0,46.8,39.5,33.8,93,75,42,30.02,29.84,11,1,12,0.89 
2014-5-20,70.9,55.1,43.2,49.6,44.0,41.2,94,70,37,30.06,29.97,7,1,9,0.90 
2014-5-21,77.5,59.9,41.0,48.7,43.3,35.1,92,60,25,30.06,29.90,8,1,9,0.00 
2014-5-22,81.5,63.4,45.5,51.8,45.4,36.3,90,57,21,30.02,29.88,7,1,8,0.00 
2014-5-23,76.6,64.3,52.3,56.5,50.7,46.9,85,63,39,30.02,29.94,9,1,9,0.00 
2014-5-24,81.0,63.9,46.6,53.8,47.7,38.8,94,61,24,30.05,29.91,8,1,8,0.00 
2014-5-25,82.8,65.4,49.5,52.7,45.4,32.5,88,54,18,30.01,29.88,9,2,11,0.00 
2014-5-26,77.4,62.1,45.7,48.2,43.3,37.2,83,53,28,30.04,29.91,7,1,8,0.00 
2014-5-27,74.7,57.6,43.0,44.2,34.6,16.5,82,48,13,30.04,29.94,15,2,16,0.00 
2014-5-28,63.9,51.1,35.6,35.6,32.3,25.5,82,52,25,30.17,30.04,12,2,12,0.00 
2014-5-29,74.1,54.9,36.1,40.3,35.9,31.3,88,54,21,30.18,29.91,9,1,9,0.00 
2014-5-30,81.3,61.1,40.5,43.0,37.1,28.4,79,46,16,29.95,29.79,9,1,10,0.00 
2014-5-31,79.9,63.5,45.9,47.8,41.3,33.4,80,48,20,29.94,29.84,10,2,10,0.00 
2014-6-1,84.6,64.9,44.8,51.3,43.6,39.4,82,50,24,29.96,29.73,8,1,8,0.00 
2014-6-2,83.8,66.3,49.8,52.2,47.0,37.4,83,54,23,29.80,29.67,16,1,18,0.00 
2014-6-3,83.1,65.6,47.7,51.3,44.7,34.7,85,52,22,29.91,29.78,9,1,9,0.00 
2014-6-4,85.8,65.7,44.6,44.8,35.0,14.0,77,40,8,29.99,29.83,7,1,9,0.00 
2014-6-5,88.5,68.0,45.7,49.1,40.3,32.2,75,41,14,29.95,29.74,9,1,10,0.00 
2014-6-6,87.3,68.5,48.0,45.7,39.7,25.5,71,40,12,29.91,29.76,8,1,9,0.00 
2014-6-7,86.4,68.8,50.2,47.7,42.4,38.1,75,43,20,29.96,29.84,10,1,11,0.00 
2014-6-8,87.3,69.1,49.1,50.2,45.7,39.4,80,47,19,30.02,29.82,8,1,11,0.00 
2014-6-9,89.4,70.4,51.6,52.7,45.9,37.4,80,46,19,29.94,29.74,17,1,17,0.00 
2014-6-10,85.5,67.0,46.8,43.2,37.8,26.2,72,39,16,29.94,29.79,8,1,10,0.00 
2014-6-11,89.6,67.8,46.8,48.6,37.1,22.3,73,38,12,29.87,29.67,12,2,17,0.00 
2014-6-12,76.3,62.1,46.2,39.9,33.9,24.8,59,37,18,29.93,29.75,15,2,17,0.00 
2014-6-13,68.7,55.6,40.3,41.7,37.8,33.6,78,54,33,30.09,29.93,11,2,12,0.00 
2014-6-14,76.3,58.5,40.5,43.9,37.4,18.0,87,52,14,30.09,29.83,8,1,10,0.00 
2014-6-15,74.1,60.7,45.5,45.5,40.3,36.1,79,50,26,29.88,29.69,9,1,12,0.00 
2014-6-16,69.6,55.6,41.5,41.2,34.9,26.1,81,49,21,29.95,29.77,13,2,14,0.00 
2014-6-17,70.5,55.4,38.7,39.4,35.4,30.6,79,50,26,30.07,29.96,10,1,11,0.00 
2014-6-18,80.1,60.2,39.6,44.2,37.6,16.9,85,49,10,30.08,29.90,8,1,9,0.00 
2014-6-19,86.7,70.2,47.7,47.8,41.9,32.5,80,41,17,29.99,29.86,15,2,16,0.00 
2014-6-20,82.4,66.2,46.9,48.0,40.6,34.2,69,42,19,29.98,29.84,9,1,10,0.00 
2014-6-21,85.1,66.2,48.4,47.7,42.2,27.7,81,47,14,29.94,29.78,9,1,10,0.00 
2014-6-22,87.1,68.3,49.1,47.8,43.1,39.7,74,44,20,29.95,29.78,8,1,10,0.00 
