date,C1-1,C2-1,C3-1,C4-1,C5-2,C6-2,C7-2,C8-2,C9-3,C10-3,C11-3,C12-3,C13-4,C14-4,C15-4,C16-4,C17-5,C18-5,C19-5,C20-5,C21-6,C22-6,C23-6,C24-6,C25-7,C26-7,C27-7,C28-7,C29-8,C30-8,C31-8,C32-8,C33-9,C34-9,C35-9,C36-9,C37-10,C38-10,C39-10,C40-10,C41-11,C42-11,C43-11,C44-11,C45-12,C46-12,C47-12,C48-12
1/17/2015 18:15,10.418,5.642,4.662,3.932,8.866,6.914,5.847,5.179,8.965,7.217,6.204,5.488,9.015,7.268,6.204,5.308,9.262,7.619,6.509,5.77,8.941,7.318,6.331,5.642,8.543,7.142,6,5.411,9.139,7.67,6.56,5.745,9.04,7.67,6.661,5.693,8.668,7.268,6.408,5.642,9.336,7.87,6.763,6.051,-94.792,7.92,6.712,5.437
1/17/2015 18:30,10.418,5.693,4.688,3.932,8.891,6.965,5.898,5.179,8.965,7.242,6.23,5.488,9.015,7.293,6.23,5.308,9.238,7.645,6.535,5.77,8.916,7.343,6.357,5.642,8.519,7.167,6.026,5.411,9.114,7.695,6.56,5.745,9.015,7.67,6.661,5.693,8.643,7.293,6.433,5.642,9.287,7.87,6.788,6.026,-94.792,7.87,6.712,5.437
1/17/2015 18:45,11.175,5.719,4.714,3.932,8.891,7.015,5.924,5.179,8.941,7.268,6.255,5.488,8.99,7.318,6.255,5.308,9.213,7.67,6.56,5.77,8.916,7.368,6.408,5.642,8.494,7.167,6.051,5.411,9.114,7.72,6.611,5.745,8.99,7.67,6.661,5.668,8.618,7.318,6.458,5.642,9.238,7.87,6.839,6.026,-94.792,7.92,6.737,5.411
1/17/2015 19:00,11.297,5.745,4.74,3.932,8.916,7.066,5.949,5.179,8.916,7.318,6.281,5.488,8.965,7.368,6.281,5.308,9.188,7.72,6.585,5.796,8.891,7.393,6.408,5.668,8.469,7.192,6.077,5.411,9.089,7.745,6.636,5.745,8.965,7.67,6.661,5.668,8.618,7.318,6.458,5.642,9.213,7.87,6.839,6,-94.792,7.92,6.763,5.411
1/17/2015 19:15,11.904,5.77,4.766,3.932,8.916,7.116,5.975,5.179,8.916,7.343,6.306,5.488,8.941,7.393,6.306,5.308,9.163,7.72,6.611,5.796,8.866,7.419,6.433,5.668,8.444,7.217,6.102,5.411,9.064,7.77,6.661,5.745,8.916,7.67,6.687,5.668,8.568,7.343,6.484,5.642,9.163,7.895,6.813,6,-94.792,7.87,6.788,5.411
1/17/2015 19:30,13.305,5.796,4.792,3.932,8.891,7.142,6,5.179,8.866,7.368,6.331,5.488,8.916,7.419,6.357,5.308,9.114,7.745,6.636,5.796,8.841,7.419,6.458,5.668,8.419,7.217,6.128,5.437,9.04,7.77,6.661,5.745,8.891,7.67,6.712,5.668,8.568,7.343,6.509,5.642,9.139,7.92,6.839,6,-94.792,7.87,6.813,5.411
1/17/2015 19:45,12.654,5.821,4.818,3.932,8.891,7.167,6.051,5.179,8.866,7.393,6.357,5.488,8.891,7.419,6.382,5.308,9.089,7.77,6.661,5.796,8.817,7.444,6.484,5.668,8.419,7.242,6.153,5.437,9.015,7.795,6.712,5.745,8.866,7.67,6.737,5.668,8.543,7.368,6.535,5.642,9.114,7.92,6.813,6,-94.792,7.87,6.839,5.411
1/17/2015 20:00,12.05,5.847,4.844,3.958,8.866,7.217,6.077,5.179,8.817,7.419,6.408,5.488,8.866,7.444,6.408,5.334,9.064,7.77,6.687,5.796,8.792,7.469,6.509,5.668,8.394,7.268,6.153,5.437,9.015,7.795,6.712,5.745,8.841,7.67,6.737,5.668,8.519,7.368,6.56,5.668,9.064,7.92,6.813,6,-94.792,7.87,6.839,5.411
1/17/2015 20:15,12.413,5.872,4.869,3.958,8.841,7.242,6.102,5.179,8.792,7.419,6.433,5.488,8.841,7.469,6.433,5.334,9.015,7.795,6.712,5.796,8.767,7.469,6.535,5.668,8.369,7.268,6.179,5.437,8.99,7.82,6.763,5.745,8.817,7.67,6.763,5.668,8.494,7.368,6.56,5.668,9.064,7.92,6.839,6,-94.792,7.87,6.864,5.411
1/17/2015 20:30,12.268,5.898,4.895,3.958,8.817,7.268,6.128,5.179,8.767,7.444,6.458,5.514,8.792,7.469,6.458,5.334,8.99,7.795,6.737,5.796,8.742,7.469,6.56,5.668,8.344,7.268,6.204,5.437,8.965,7.82,6.763,5.745,8.767,7.67,6.763,5.668,8.469,7.393,6.585,5.668,9.015,7.92,6.864,6,-94.792,7.845,6.864,5.411
