Date,C1,C2,C3,H1,H2,H3,L1,L2,L3,N1,N2
2/18/2015 0:00:00,0.005766427,0.005766427,0.005766427,0.005766427,0.005766427,0.005766427,0.005766427,0.005766427,0.005766427,0,0
2/18/2015 0:15:00,0.00576908,0.00576908,0.00576908,0.00576908,0.00576908,0.00576908,0.00576908,0.00576908,0.00576908,0,0
2/18/2015 0:30:00,0.00576732,0.00576732,0.00576732,0.00576732,0.00576732,0.00576732,0.00576732,0.00576732,0.00576732,0,0
2/18/2015 0:45:00,0.005806525,0.005806525,0.005806525,0.005806525,0.005806525,0.005806525,0.005806525,0.005806525,0.005806525,0,0
2/18/2015 1:00:00,0.005724263,0.005724263,0.005724263,0.005724263,0.005724263,0.005724263,0.005724263,0.005724263,0.005724263,0,0
2/18/2015 1:15:00,0.005759565,0.005759565,0.005759565,0.005759565,0.005759565,0.005759565,0.005759565,0.005759565,0.005759565,0,0
2/18/2015 1:30:00,0.005754999,0.005754999,0.005754999,0.005754999,0.005754999,0.005754999,0.005754999,0.005754999,0.005754999,0,0
2/18/2015 1:45:00,0.00573467,0.00573467,0.00573467,0.00573467,0.00573467,0.00573467,0.00573467,0.00573467,0.00573467,0,0
2/18/2015 2:00:00,0.005734236,0.005734236,0.005734236,0.005734236,0.005734236,0.005734236,0.005734236,0.005734236,0.005734236,0,0
2/18/2015 2:15:00,0.00573592,0.00573592,0.00573592,0.00573592,0.00573592,0.00573592,0.00573592,0.00573592,0.00573592,0,0
2/18/2015 2:30:00,0.005763417,0.005763417,0.005763417,0.005763417,0.005763417,0.005763417,0.005763417,0.005763417,0.005763417,0,0
2/18/2015 2:45:00,0.005722401,0.005722401,0.005722401,0.005722401,0.005722401,0.005722401,0.005722401,0.005722401,0.005722401,0,0
2/18/2015 3:00:00,0.005711815,0.005711815,0.005711815,0.005711815,0.005711815,0.005711815,0.005711815,0.005711815,0.005711815,0,0
2/18/2015 3:15:00,0.005739236,0.005739236,0.005739236,0.005739236,0.005739236,0.005739236,0.005739236,0.005739236,0.005739236,0,0
2/18/2015 3:30:00,0.005739032,0.005739032,0.005739032,0.005739032,0.005739032,0.005739032,0.005739032,0.005739032,0.005739032,0,0
2/18/2015 3:45:00,0.005700566,0.005700566,0.005700566,0.005700566,0.005700566,0.005700566,0.005700566,0.005700566,0.005700566,0,0
2/18/2015 4:00:00,0.005706816,0.005706816,0.005706816,0.005706816,0.005706816,0.005706816,0.005706816,0.005706816,0.005706816,0,0
2/18/2015 4:15:00,0.005744745,0.005744745,0.005744745,0.005744745,0.005744745,0.005744745,0.005744745,0.005744745,0.005744745,0,0
2/18/2015 4:30:00,0.005725513,0.005725513,0.005725513,0.005725513,0.005725513,0.005725513,0.005725513,0.005725513,0.005725513,0,0
2/18/2015 4:45:00,0.005754209,0.005754209,0.005754209,0.005754209,0.005754209,0.005754209,0.005754209,0.005754209,0.005754209,0,0
2/18/2015 5:00:00,0.005777191,0.005777191,0.005777191,0.005777191,0.005777191,0.005777191,0.005777191,0.005777191,0.005777191,0,0
2/18/2015 5:15:00,0.005751505,0.005751505,0.005751505,0.005751505,0.005751505,0.005751505,0.005751505,0.005751505,0.005751505,0,0
