"","X2","X35","X0","X2009.03.18.09.20.00"
"608038",2,35,0.254,"2015-01-26 20:45:00"
"608039",2,35,0.254,"2015-01-26 20:50:00"
"608040",2,35,0.254,"2015-01-26 20:55:00"
"608041",2,35,0.254,"2015-01-26 21:00:00"
"608042",2,35,0.254,"2015-01-26 21:05:00"
"608043",2,35,0.254,"2015-01-26 21:10:00"
"608044",2,35,0.254,"2015-01-26 21:15:00"
"608045",2,35,0.254,"2015-01-26 21:20:00"
"608046",2,35,0.254,"2015-01-26 21:25:00"
"608047",2,35,0.254,"2015-01-26 21:30:00"
"608048",2,35,0.254,"2015-01-26 21:35:00"
"608049",2,35,0.254,"2015-01-26 21:40:00"
"608050",2,35,0.254,"2015-01-26 21:45:00"
"608051",2,35,0.254,"2015-01-26 21:50:00"
"608052",2,35,0.254,"2015-01-26 21:55:00"
"608053",2,35,0.254,"2015-01-26 22:00:00"
"608054",2,35,0.254,"2015-01-26 22:05:00"
"608055",2,35,0.254,"2015-01-26 22:10:00"
"608056",2,35,0.254,"2015-01-26 22:15:00"
"608057",2,35,0.254,"2015-01-26 22:20:00"
"608058",2,35,0.254,"2015-01-26 22:25:00"
"608059",2,35,0.254,"2015-01-26 22:30:00"
"608060",2,35,0.254,"2015-01-26 22:35:00"
"608061",2,35,0.254,"2015-01-26 22:40:00"
"608062",2,35,0.254,"2015-01-26 22:45:00"
"608063",2,35,0.254,"2015-01-26 22:50:00"
"608064",2,35,0.254,"2015-01-26 22:55:00"
"608065",2,35,0.254,"2015-01-26 23:00:00"
"608066",2,35,0.254,"2015-01-26 23:05:00"
"608067",2,35,0.254,"2015-01-26 23:10:00"
"608068",2,35,0.254,"2015-01-26 23:15:00"
"608069",2,35,0.254,"2015-01-26 23:20:00"
"608070",2,35,0.254,"2015-01-26 23:25:00"
"608071",2,35,0.254,"2015-01-26 23:30:00"
"608072",2,35,0.254,"2015-01-26 23:35:00"
"608073",2,35,0.254,"2015-01-26 23:40:00"
"608074",2,35,0.254,"2015-01-26 23:45:00"
"608075",2,35,0.254,"2015-01-26 23:50:00"
